round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
1,max-cover,6,20.0,0.8083333333333333,0.7833333333333333,1.2777313083291375,0.725,38.0
1,budget,6,20.0,0.975,0.975,1.2955526565611442,0.8333333333333334,38.0
2,max-cover,7,10.0,0.8,0.8,0.6533210322607206,0.8,10.0
2,budget,7,10.0,1.0,1.0,0.6474320030492408,1.0,10.0
3,max-cover,6,20.0,0.8416666666666667,0.8,1.8475060761851776,0.7583333333333334,44.0
3,budget,6,20.0,0.975,0.9416666666666668,1.7954125565979455,0.7916666666666667,44.0
3,max-cover,7,10.0,0.9857142857142858,0.9857142857142858,0.6840492231211686,0.9857142857142858,10.0
3,budget,7,10.0,1.0,1.0,0.6725439535595971,1.0,10.0
4,max-cover,6,20.0,0.6333333333333333,0.6,1.3669133567789429,0.5666666666666667,40.0
4,budget,6,20.0,0.9916666666666668,0.9916666666666668,1.5478204462331668,0.8333333333333334,40.0
4,max-cover,7,10.0,0.9571428571428572,0.9571428571428572,0.4908780441406043,0.9571428571428572,10.0
4,budget,7,10.0,1.0,1.0,0.5101484606975862,1.0,10.0
5,max-cover,6,20.0,0.7583333333333333,0.7083333333333333,1.4742598691301378,0.6333333333333334,44.0
5,budget,6,20.0,0.9833333333333332,0.9833333333333332,1.651243770002542,0.7750000000000001,44.0
5,max-cover,7,10.0,0.9857142857142858,0.9857142857142858,0.5845011476526617,0.9857142857142858,10.0
5,budget,7,10.0,1.0,1.0,0.5818793987577359,1.0,10.0
6,max-cover,6,20.0,0.7083333333333333,0.675,1.6992176928919138,0.625,28.0
6,budget,6,20.0,0.9833333333333332,0.9833333333333332,1.7629167788029738,0.9333333333333332,28.0
6,max-cover,7,10.0,0.9285714285714286,0.9285714285714286,0.6499643688699388,0.9142857142857144,10.0
6,budget,7,10.0,1.0,1.0,0.6080732714605117,1.0,10.0
7,max-cover,6,20.0,0.8166666666666667,0.75,1.5246611663134555,0.6833333333333333,29.0
7,budget,6,20.0,0.9916666666666668,0.9833333333333332,1.6862986085503675,0.9166666666666669,29.0
7,max-cover,7,10.0,0.9857142857142858,0.9857142857142858,0.8816819351609447,0.9714285714285712,11.0
7,budget,7,10.0,1.0,1.0,0.9030833618637736,0.9857142857142858,11.0
8,max-cover,6,20.0,0.8583333333333334,0.8166666666666667,1.278665472494665,0.775,31.0
8,budget,6,20.0,0.975,0.9666666666666668,1.3965146856004944,0.9083333333333334,31.0
8,max-cover,7,10.0,0.9,0.9,0.4712743723119201,0.8714285714285716,11.0
8,budget,7,10.0,1.0,1.0,0.4632427706727383,0.9857142857142858,11.0
9,max-cover,6,20.0,0.875,0.8333333333333334,1.636419170555003,0.6833333333333333,33.0
9,budget,6,20.0,0.9666666666666668,0.9666666666666668,1.586672898537981,0.8916666666666668,33.0
9,max-cover,7,10.0,0.9714285714285714,0.9714285714285714,0.7982048481108782,0.9714285714285716,10.0
9,budget,7,10.0,1.0,1.0,0.7612223109037531,1.0,10.0
0,max-cover,7,20.0,0.7428571428571429,0.7071428571428571,1.3295402222283776,0.6857142857142857,29.0
0,budget,7,20.0,0.9857142857142858,0.9857142857142858,1.409253687355393,0.9357142857142856,29.0
0,max-cover,8,10.0,0.9875,0.9875,0.6013367497854745,0.975,11.0
0,budget,8,10.0,1.0,1.0,0.5911797619417911,0.9875,11.0
1,max-cover,7,20.0,0.85,0.8357142857142857,1.778871630811214,0.7714285714285715,23.0
1,budget,7,20.0,0.9928571428571428,0.9928571428571428,1.7544517647073314,0.9785714285714286,23.0
2,max-cover,7,20.0,0.8428571428571429,0.8214285714285714,1.0996709585216704,0.7714285714285715,24.0
2,budget,7,20.0,0.9928571428571428,0.9928571428571428,1.1062756872292094,0.9714285714285716,24.0
1,max-cover,8,10.0,0.9375,0.9375,0.7930273901659682,0.9375,10.0
1,budget,8,10.0,1.0,1.0,0.7643304991102383,1.0,10.0
3,max-cover,7,20.0,0.6428571428571428,0.6428571428571428,1.2475499594628878,0.6,27.0
3,budget,7,20.0,1.0,1.0,1.4200013973384362,0.95,27.0
2,max-cover,8,10.0,0.9625,0.9625,0.527943244847304,0.9625,10.0
2,budget,8,10.0,1.0,1.0,0.526399705530467,1.0,10.0
4,max-cover,7,20.0,0.8857142857142857,0.8642857142857143,1.4952635465924469,0.7642857142857143,38.0
4,budget,7,20.0,0.9857142857142858,0.9857142857142858,1.5825541925694318,0.8714285714285716,38.0
3,max-cover,8,10.0,0.9625,0.9625,0.7829468296132442,0.95,10.0
3,budget,8,10.0,1.0,1.0,0.7861438276203371,1.0,10.0
5,max-cover,7,20.0,0.9,0.8785714285714286,1.1389031778715482,0.8285714285714286,24.0
5,budget,7,20.0,1.0,1.0,1.134750443598652,0.9714285714285716,24.0
4,max-cover,8,10.0,0.9875,0.9875,0.7257404010603627,0.95,13.0
4,budget,8,10.0,0.9875,0.9875,0.7230254301133883,0.9625,13.0
6,max-cover,7,20.0,0.8285714285714285,0.8285714285714285,1.2584480364625037,0.7499999999999999,24.0
6,budget,7,20.0,0.9857142857142858,0.9857142857142858,1.333700255898023,0.9714285714285716,24.0
5,max-cover,8,10.0,0.9875,0.9875,0.6925527437479512,0.9875,11.0
5,budget,8,10.0,1.0,1.0,0.7209981788299373,0.9875,11.0
7,max-cover,7,20.0,0.8785714285714286,0.8285714285714285,1.1498098001220196,0.8,34.0
7,budget,7,20.0,0.9714285714285714,0.9642857142857144,1.2130353697923344,0.9,34.0
6,max-cover,8,10.0,0.9625,0.9625,0.8403438506868379,0.9375,12.0
6,budget,8,10.0,1.0,1.0,0.856492866712653,0.975,12.0
8,max-cover,7,20.0,0.75,0.7,1.986583915469051,0.6428571428571429,38.0
8,budget,7,20.0,0.9928571428571428,0.9928571428571428,2.013192337943955,0.8571428571428571,38.0
7,max-cover,8,10.0,0.95,0.95,0.7564933985408187,0.95,10.0
7,budget,8,10.0,1.0,1.0,0.7872444436503926,1.0,10.0
9,max-cover,7,20.0,0.8857142857142857,0.8714285714285714,1.6097017126904716,0.7642857142857142,36.0
9,budget,7,20.0,0.9785714285714284,0.9785714285714284,1.7344379577779514,0.8785714285714287,36.0
8,max-cover,8,10.0,0.975,0.975,0.5196496620670242,0.975,10.0
8,budget,8,10.0,1.0,1.0,0.5107172853724066,1.0,10.0
0,max-cover,8,20.0,0.88125,0.875,1.1897663064539032,0.875,29.0
0,budget,8,20.0,1.0,1.0,1.171315314636474,0.94375,29.0
1,max-cover,8,20.0,0.81875,0.81875,1.108321110965843,0.74375,29.0
1,budget,8,20.0,0.99375,0.99375,1.0916560117319816,0.94375,29.0
9,max-cover,8,10.0,0.9,0.9,0.5539667225296987,0.9,10.0
9,budget,8,10.0,1.0,1.0,0.5410159656996959,1.0,10.0
2,max-cover,8,20.0,0.81875,0.79375,1.0631861836214649,0.7625,31.0
2,budget,8,20.0,0.98125,0.95625,1.0762911778479405,0.93125,31.0
0,max-cover,9,10.0,1.0,1.0,0.83393595019837,1.0,10.0
0,budget,9,10.0,1.0,1.0,0.83393595019837,1.0,10.0
3,max-cover,8,20.0,0.8875,0.8875,0.9754607314304276,0.84375,28.0
3,budget,8,20.0,0.99375,0.99375,1.0011465025451236,0.95,28.0
1,max-cover,9,10.0,0.9888888888888888,0.9888888888888888,0.3899242855980283,0.9888888888888888,10.0
1,budget,9,10.0,1.0,1.0,0.3952459239391666,1.0,10.0
4,max-cover,8,20.0,0.75,0.71875,1.1468247258800743,0.70625,25.0
4,budget,8,20.0,1.0,1.0,1.2083686106624436,0.96875,25.0
2,max-cover,9,10.0,1.0,1.0,0.5566188855605848,1.0,10.0
2,budget,9,10.0,1.0,1.0,0.5566188855605848,1.0,10.0
5,max-cover,8,20.0,0.7625,0.75625,1.1463094235568652,0.71875,32.0
5,budget,8,20.0,0.9875,0.9875,1.233761659481534,0.925,32.0
3,max-cover,9,10.0,0.9666666666666668,0.9666666666666668,0.3860470589036267,0.9666666666666666,10.0
3,budget,9,10.0,1.0,1.0,0.3549175169498367,1.0,10.0
6,max-cover,8,20.0,0.8875,0.85625,1.0859514128278651,0.83125,27.0
6,budget,8,20.0,0.98125,0.98125,1.1274876382600931,0.95625,27.0
4,max-cover,9,10.0,0.9777777777777776,0.9777777777777776,0.7273011891416148,0.977777777777778,10.0
4,budget,9,10.0,1.0,1.0,0.7327924698399945,1.0,10.0
7,max-cover,8,20.0,0.88125,0.86875,1.1774789097864011,0.83125,25.0
7,budget,8,20.0,1.0,1.0,1.2755864893153872,0.96875,25.0
5,max-cover,9,10.0,0.9,0.9,0.5231525502981103,0.888888888888889,10.0
5,budget,9,10.0,1.0,1.0,0.5339737407682078,1.0,10.0
8,max-cover,8,20.0,0.89375,0.89375,1.4829724084916875,0.85625,25.0
8,budget,8,20.0,1.0,1.0,1.524171938180117,0.96875,25.0
6,max-cover,9,10.0,0.9777777777777776,0.9777777777777776,0.6165244895910181,0.977777777777778,10.0
6,budget,9,10.0,1.0,1.0,0.6280044963068905,1.0,10.0
9,max-cover,8,20.0,0.85625,0.85625,1.410905869032326,0.79375,24.0
9,budget,8,20.0,1.0,1.0,1.3368340227749245,0.975,24.0
7,max-cover,9,10.0,0.9666666666666668,0.9666666666666668,0.5015951406421856,0.9666666666666668,10.0
7,budget,9,10.0,1.0,1.0,0.4470450637280388,1.0,10.0
0,max-cover,9,20.0,0.9277777777777778,0.9277777777777778,1.214721991197533,0.9,26.0
0,budget,9,20.0,0.9944444444444444,0.9944444444444444,1.2357427117420974,0.9666666666666668,26.0
