round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
1,heuristic,32,80,0.758984375,0.7043636467805571,0.64140625
2,max-cover,28,160,0.6308035714285714,1.4158478612095835,0.3917410714285715
2,budget,28,160,0.9631696428571428,1.4180754020459614,0.5531249999999999
2,heuristic,28,160,0.9334821428571428,1.415490215670438,0.5410714285714285
3,max-cover,28,160,0.6549107142857142,1.3180239876801527,0.4169642857142858
3,budget,28,160,0.9053571428571427,1.313479168594796,0.5642857142857141
3,heuristic,28,160,0.9386160714285714,1.3121460653995296,0.5573660714285713
2,max-cover,32,80,0.657421875,0.9495309626862092,0.578515625
2,budget,32,80,0.998046875,0.945362066690421,0.98359375
2,heuristic,32,80,0.863671875,0.9445580763587872,0.7546875
3,max-cover,32,80,0.59765625,0.8300151219187953,0.545703125
3,budget,32,80,0.998046875,0.8317454013518416,0.990625
3,heuristic,32,80,0.859375,0.8302789099129821,0.773046875
4,max-cover,28,160,0.7116071428571429,1.6324290985331191,0.4352678571428572
4,budget,28,160,0.9243303571428572,1.705199034962855,0.5578125
4,heuristic,28,160,0.9011160714285714,1.69698237395253,0.5575892857142857
4,max-cover,32,80,0.66328125,1.1369354631508373,0.590625
4,budget,32,80,1.0,1.141270715248742,0.991015625
4,heuristic,32,80,0.865234375,1.140901410122292,0.778515625
0,max-cover,32,160,0.61484375,1.6310901852832893,0.428125
0,budget,32,160,0.9294921875,1.6187292390123256,0.6333984375
0,heuristic,32,160,0.916796875,1.6236229074333393,0.5892578125
0,max-cover,36,80,0.6059027777777778,0.47921245024379,0.5517361111111111
0,budget,36,80,0.9986111111111112,0.4671252791163213,0.9930555555555556
0,heuristic,36,80,0.8746527777777777,0.476081963575557,0.7975694444444443
1,max-cover,32,160,0.6998046875,1.2515584381566036,0.46796875
1,budget,32,160,0.93515625,1.266318620749631,0.5865234375
1,heuristic,32,160,0.955078125,1.263087019870034,0.594921875
1,max-cover,36,80,0.6604166666666667,1.0590942358991258,0.6059027777777777
1,budget,36,80,0.9986111111111112,1.0604478505756232,0.993402777777778
1,heuristic,36,80,0.8322916666666667,1.0609790223581466,0.7631944444444444
2,max-cover,32,160,0.71796875,1.4414332035137902,0.4615234375
2,budget,32,160,0.936328125,1.4416952715509288,0.6408203125
2,heuristic,32,160,0.8603515625,1.4280448944207291,0.5408203125
2,max-cover,36,80,0.7138888888888889,1.0909840055450908,0.6590277777777775
2,budget,36,80,0.9986111111111112,1.078560250460615,0.9930555555555554
